Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,4.03,Vintage International,Paperback,123,1989,1942,,2022/12/17,to-read,to-read (#10),to-read,,,,0,0
58799401,"Obsessive, Intrusive, Magical Thinking",Marianne Eloise,"Eloise, Marianne",,"=""1785788159""","=""9781785788154""",0,3.48,Icon Books,Hardcover,288,2022,2022,,2022/12/15,to-read,to-read (#9),to-read,,,,0,0
52309392,Nothing to See Here,Kevin    Wilson,"Wilson, Kevin",,"=""192226833X""","=""9781922268334""",4,3.96,Text Publishing,Paperback,254,2019,2019,2022/12/10,2022/12/04,books-from-alex,books-from-alex (#8),read,,,,1,0
56578056,The Midnight Library,Matt Haig,"Haig, Matt",,"=""1786892731""","=""9781786892737""",3,3.99,Canongate Books Ltd.,Paperback,288,2021,2020,2022/11/21,2022/09/07,books-from-mon,books-from-mon (#1),read,,,,1,0
37570548,The Five: The Untold Lives of the Women Killed by Jack the Ripper,Hallie Rubenhold,"Rubenhold, Hallie",,"=""""","=""""",0,4.11,Houghton Mifflin Harcourt,Hardcover,352,2019,2019,,2022/11/08,to-read,to-read (#8),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",0,4.17,Vintage,Paperback,559,1992,1992,,2022/11/08,to-read,to-read (#7),to-read,,,,0,0
60769118,Sorrow and Bliss,Meg Mason,"Mason, Meg",,"=""1474622992""","=""9781474622998""",5,4.09,W&N,Paperback,347,2022,2020,2022/10/27,2022/09/13,books-from-alex,books-from-alex (#6),read,,,,1,0
23398763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""0143127551""","=""9780143127550""",3,3.84,Penguin Books,Paperback,297,2015,2014,2022/10/09,2022/09/13,books-from-alex,books-from-alex (#4),read,,,,1,0
58556596,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""0857528122""","=""9780857528124""",5,4.29,Doubleday,Hardcover,390,2022,2022,2022/09/23,2022/09/13,books-from-alex,books-from-alex (#1),read,,,,1,0
49124433,Queenie,Candice Carty-Williams,"Carty-Williams, Candice",,"=""""","=""""",4,3.86,Trapeze,Paperback,390,2020,2019,2022/09/06,2022/09/05,,,read,,,,1,0
